transaction_id,account_id,transaction_type,amount
1,441,Withdrawal,1155.72
2,766,Withdrawal,4538.35
3,771,Withdrawal,950.03
4,110,Deposit,3084.93
5,200,Deposit,2502.23
6,636,Deposit,4290.21
7,554,Withdrawal,3528.72
8,94,Withdrawal,3332.75
9,261,Withdrawal,2194.14
10,238,Withdrawal,626.6
11,266,Deposit,863.42
12,178,Withdrawal,734.13
13,67,Withdrawal,4123.4
14,499,Withdrawal,4329.36
15,308,Deposit,2436.93
16,30,Deposit,1912.72
17,428,Deposit,1701.6
18,434,Withdrawal,3762.41
19,357,Withdrawal,1959.41
20,269,Withdrawal,3523.57
21,26,Deposit,3349.7
22,568,Withdrawal,1049.12
23,72,Deposit,3113.71
24,674,Deposit,4214.09
25,143,Withdrawal,1726.58
26,721,Withdrawal,723.45
27,143,Withdrawal,1138.27
28,207,Deposit,3754.65
29,307,Deposit,2704.91
30,518,Deposit,1981.06
31,159,Withdrawal,676.07
32,453,Deposit,3025.01
33,590,Withdrawal,1281.07
34,589,Withdrawal,4030.87
35,923,Deposit,4622.37
36,194,Deposit,2385.14
37,646,Withdrawal,1580.6
38,866,Deposit,2304.79
39,9,Withdrawal,4353.53
40,716,Withdrawal,3631.94
41,388,Withdrawal,2241.06
42,220,Deposit,1384.26
43,502,Deposit,1169.12
44,24,Deposit,4768.04
45,8,Withdrawal,3332.01
46,556,Withdrawal,574.96
47,272,Withdrawal,1682.79
48,980,Withdrawal,2791.45
49,377,Withdrawal,3439.46
50,346,Withdrawal,943.01
51,219,Deposit,4463.51
52,473,Deposit,4766.12
53,699,Withdrawal,1910.76
54,300,Deposit,813.97
55,330,Deposit,1218.08
56,594,Withdrawal,3737.25
57,572,Withdrawal,2269.32
58,755,Withdrawal,1477.29
59,972,Deposit,1652.93
60,397,Withdrawal,3834.67
61,35,Deposit,3569.67
62,144,Deposit,2786.94
63,892,Deposit,1842.3
64,717,Deposit,1629.44
65,620,Deposit,2311.93
66,486,Withdrawal,4436.16
67,404,Deposit,4752.13
68,466,Deposit,2392.74
69,758,Withdrawal,1455.68
70,755,Deposit,3942.53
71,865,Withdrawal,1360.43
72,251,Withdrawal,1769.64
73,148,Deposit,1580.93
74,250,Deposit,2912.88
75,464,Withdrawal,2345.97
76,83,Deposit,1415.96
77,733,Withdrawal,3465.42
78,125,Deposit,2008.45
79,702,Deposit,4423.46
80,144,Deposit,649.49
81,393,Withdrawal,1495.71
82,520,Deposit,4009.92
83,263,Deposit,2363.3
84,217,Deposit,1971.45
85,839,Deposit,3360.95
86,88,Withdrawal,4911.69
87,541,Withdrawal,806.26
88,920,Deposit,649.94
89,777,Withdrawal,4794.2
90,921,Deposit,983.51
91,464,Deposit,4020.8
92,772,Withdrawal,822.68
93,194,Withdrawal,1700.3
94,398,Deposit,1280.29
95,475,Withdrawal,2877.26
96,4,Withdrawal,754.03
97,313,Deposit,2704.91
98,259,Deposit,1742.87
99,4,Withdrawal,3291.77
100,246,Withdrawal,3739.26
101,286,Withdrawal,536.45
102,655,Deposit,801.41
103,63,Withdrawal,3512.75
104,11,Deposit,695.61
105,106,Withdrawal,2414.57
106,355,Withdrawal,4108.19
107,522,Deposit,787.82
108,31,Withdrawal,2239.37
109,383,Deposit,4787.74
110,924,Deposit,4358.83
111,849,Deposit,2922.66
112,315,Withdrawal,2477.27
113,254,Withdrawal,4310.63
114,748,Withdrawal,2529.3
115,295,Withdrawal,2120.33
116,876,Deposit,2051.6
117,835,Withdrawal,3679.25
118,177,Deposit,4041.13
119,944,Deposit,3346.16
120,372,Deposit,3502.04
121,503,Deposit,3255.55
122,524,Deposit,4616.35
123,73,Deposit,1302.03
124,927,Deposit,4411.12
125,854,Deposit,2668.72
126,976,Withdrawal,1926.88
127,300,Withdrawal,3852.24
128,473,Withdrawal,4930.83
129,107,Withdrawal,962.07
130,741,Deposit,4422.33
131,713,Withdrawal,2985.97
132,392,Withdrawal,1861.29
133,493,Withdrawal,877.73
134,513,Withdrawal,4937.26
135,777,Deposit,4801.78
136,837,Withdrawal,3471.09
137,732,Deposit,2733.61
138,76,Deposit,3357.6
139,848,Deposit,1227.89
140,430,Withdrawal,3938.53
141,272,Deposit,3776.77
142,798,Withdrawal,4366.3
143,297,Deposit,1277.79
144,173,Deposit,831.01
145,266,Withdrawal,4149.12
146,777,Deposit,4120.86
147,658,Withdrawal,2423.8
148,408,Deposit,4464.12
149,127,Deposit,939.82
150,597,Withdrawal,2086.85
151,502,Withdrawal,3311.96
152,720,Deposit,2335.08
153,589,Withdrawal,3435.11
154,523,Withdrawal,2703.3
155,554,Withdrawal,2379.51
156,426,Deposit,3489
157,999,Withdrawal,1294.12
158,305,Deposit,4304.14
159,724,Withdrawal,509.22
160,786,Withdrawal,3502.3
